32 236
0 1 44
0 6 398
0 7 632
0 10 204
0 11 217
0 17 93
0 19 809
0 20 194
0 23 662
0 25 608
0 27 959
0 29 104
0 30 960
1 6 657
1 8 416
1 10 800
1 11 34
1 12 359
1 15 635
1 17 935
1 22 668
1 23 957
1 30 447
2 4 937
2 6 62
2 7 303
2 10 175
2 15 212
2 16 441
2 17 957
2 18 989
2 21 854
2 25 469
2 30 528
2 31 861
3 4 868
3 5 602
3 6 791
3 7 466
3 8 273
3 11 202
3 17 209
3 21 432
3 22 687
3 23 789
3 24 647
3 26 251
3 27 30
3 28 299
3 29 280
3 30 679
4 5 524
4 8 270
4 9 799
4 10 818
4 11 996
4 12 414
4 14 77
4 19 375
4 21 279
4 23 933
4 24 255
4 28 819
4 29 468
4 30 872
4 31 647
5 8 986
5 9 907
5 10 450
5 11 859
5 12 457
5 17 154
5 19 880
5 20 479
5 21 11
5 22 168
5 23 165
5 25 387
5 28 851
5 29 223
5 31 310
6 8 196
6 9 343
6 10 902
6 13 701
6 14 115
6 17 899
6 20 816
6 22 486
6 23 920
6 24 797
6 25 872
6 28 364
7 9 12
7 10 15
7 11 22
7 12 264
7 13 51
7 18 5
7 19 602
7 25 786
7 27 762
7 28 908
7 29 76
7 30 867
7 31 156
8 9 697
8 11 332
8 15 693
8 17 285
8 19 960
8 20 208
8 21 436
8 23 657
8 26 123
8 27 871
8 31 523
9 15 556
9 19 982
9 23 340
9 26 625
9 28 310
9 29 509
9 31 120
10 11 455
10 12 412
10 15 93
10 21 574
10 24 139
10 26 402
10 27 797
10 28 815
10 29 26
10 30 210
11 13 143
11 15 913
11 24 286
11 27 984
11 28 147
11 29 457
12 13 140
12 16 749
12 19 42
12 23 798
12 25 70
12 27 372
12 28 958
12 30 524
12 31 983
13 14 731
13 17 183
13 23 74
13 26 428
13 27 720
13 28 198
13 30 297
14 15 833
14 17 278
14 18 749
14 20 835
14 22 896
14 24 778
14 30 458
14 31 67
15 17 562
15 20 297
15 21 779
15 22 369
15 25 383
15 27 983
15 30 861
15 31 37
16 17 72
16 18 243
16 20 999
16 22 630
16 25 263
16 29 337
17 18 721
17 20 527
17 23 745
17 25 599
17 26 354
17 29 861
17 30 685
18 19 682
18 20 384
18 21 478
18 22 90
18 25 335
18 28 520
18 30 742
19 24 38
19 25 769
19 27 30
19 28 102
19 29 318
19 31 391
20 21 410
20 22 824
20 24 121
20 25 437
20 26 517
20 29 675
20 31 464
21 23 464
21 24 904
21 25 924
21 26 782
21 28 718
21 30 524
22 24 967
22 25 792
22 27 687
22 29 955
22 30 373
23 24 803
23 27 481
23 28 701
24 26 707
24 28 71
24 29 165
25 26 352
25 27 25
25 29 921
25 30 109
25 31 139
26 28 122
26 29 720
26 30 83
26 31 39
27 30 349
27 31 947
28 29 10
28 31 270
29 30 804
