64 978
0 1 684
0 2 402
0 4 940
0 6 197
0 7 681
0 12 148
0 16 311
0 17 797
0 19 286
0 21 996
0 23 751
0 24 20
0 25 384
0 27 489
0 28 576
0 29 748
0 32 986
0 33 640
0 36 397
0 37 487
0 38 592
0 40 366
0 43 780
0 44 25
0 47 369
0 55 934
0 56 912
0 57 743
0 58 164
0 60 674
0 62 714
1 2 889
1 4 764
1 9 857
1 10 777
1 12 725
1 17 73
1 19 482
1 20 200
1 21 66
1 24 743
1 25 512
1 28 787
1 29 806
1 30 964
1 31 810
1 32 750
1 35 351
1 37 548
1 38 892
1 40 868
1 41 140
1 43 555
1 47 382
1 48 535
1 49 39
1 51 143
1 52 593
1 54 922
1 56 181
1 59 217
2 3 852
2 4 116
2 5 431
2 7 725
2 8 167
2 9 583
2 10 468
2 12 241
2 16 352
2 19 932
2 21 971
2 24 752
2 25 647
2 26 538
2 27 517
2 28 23
2 30 708
2 32 883
2 38 73
2 40 528
2 41 298
2 44 651
2 47 610
2 48 209
2 49 457
2 51 657
2 52 173
2 56 104
2 57 974
2 58 197
2 59 37
2 60 436
3 4 915
3 7 534
3 9 876
3 10 486
3 12 136
3 13 737
3 14 641
3 17 181
3 18 618
3 23 129
3 28 746
3 30 672
3 31 751
3 33 176
3 35 973
3 36 208
3 37 778
3 38 38
3 39 48
3 40 966
3 41 669
3 42 293
3 47 243
3 48 485
3 50 423
3 51 624
3 52 493
3 53 536
3 55 345
3 57 486
3 60 974
3 61 821
3 62 374
3 63 521
4 6 307
4 7 21
4 13 334
4 14 324
4 16 481
4 18 130
4 19 635
4 22 303
4 24 986
4 25 380
4 27 352
4 30 465
4 31 847
4 33 614
4 35 88
4 37 93
4 39 769
4 40 47
4 41 870
4 44 923
4 46 159
4 47 509
4 48 309
4 51 321
4 54 354
4 55 582
4 56 579
4 57 945
5 8 729
5 10 492
5 12 66
5 15 986
5 17 555
5 19 333
5 20 617
5 21 413
5 22 659
5 23 408
5 26 180
5 27 100
5 28 586
5 29 832
5 30 158
5 31 282
5 35 483
5 41 777
5 42 3
5 44 743
5 45 705
5 46 146
5 48 7
5 51 986
5 54 193
5 56 914
5 57 453
5 58 165
5 60 883
5 61 774
5 62 821
6 7 685
6 14 706
6 16 602
6 17 89
6 19 24
6 20 174
6 23 669
6 25 522
6 27 853
6 29 694
6 32 798
6 33 68
6 34 548
6 35 939
6 37 511
6 38 441
6 41 650
6 45 400
6 46 998
6 47 761
6 49 484
6 50 300
6 51 930
6 52 853
6 54 621
6 55 710
6 60 669
6 61 182
6 62 382
7 10 325
7 13 927
7 14 50
7 15 491
7 16 145
7 17 490
7 18 218
7 23 157
7 24 974
7 25 868
7 26 617
7 29 865
7 30 680
7 35 669
7 38 937
7 41 739
7 46 323
7 47 565
7 49 538
7 50 116
7 53 48
7 55 698
7 56 574
7 58 120
7 59 236
7 61 593
7 62 549
7 63 469
8 10 681
8 12 602
8 15 929
8 16 340
8 18 512
8 19 858
8 21 109
8 25 783
8 27 372
8 28 744
8 29 80
8 32 538
8 34 169
8 40 390
8 45 862
8 51 774
8 54 737
8 56 183
8 57 343
8 58 594
8 62 790
8 63 657
9 10 353
9 13 113
9 15 910
9 18 77
9 22 225
9 24 1
9 30 847
9 33 701
9 34 141
9 35 693
9 36 149
9 37 941
9 38 656
9 39 570
9 41 789
9 42 419
9 44 120
9 45 654
9 48 382
9 50 386
9 51 375
9 52 151
9 53 475
9 58 8
10 11 386
10 13 997
10 19 720
10 20 35
10 21 948
10 24 515
10 25 405
10 27 938
10 28 927
10 30 496
10 34 610
10 35 762
10 40 814
10 41 628
10 42 795
10 43 100
10 45 315
10 48 575
10 51 660
10 52 347
10 53 411
10 55 262
10 56 630
10 58 495
10 59 806
10 61 261
10 63 792
11 12 268
11 14 785
11 15 640
11 19 190
11 20 500
11 21 61
11 22 427
11 23 977
11 25 934
11 26 627
11 28 822
11 29 608
11 31 58
11 33 980
11 34 503
11 35 886
11 36 894
11 37 169
11 40 224
11 42 72
11 43 800
11 44 119
11 47 864
11 48 54
11 51 636
11 54 451
11 59 920
11 61 659
11 62 945
11 63 659
12 13 285
12 18 460
12 19 339
12 20 529
12 21 813
12 22 955
12 23 793
12 24 612
12 28 81
12 29 416
12 32 255
12 33 23
12 34 801
12 35 355
12 38 613
12 42 914
12 43 272
12 44 852
12 45 37
12 49 20
12 50 550
12 51 726
12 52 94
12 55 923
12 57 714
12 58 723
12 61 202
13 14 791
13 15 134
13 19 213
13 21 613
13 24 903
13 25 305
13 28 392
13 31 146
13 34 657
13 36 683
13 40 849
13 41 748
13 43 246
13 45 281
13 48 380
13 55 950
13 56 138
13 57 612
13 59 703
13 60 199
13 61 237
13 62 195
14 15 106
14 18 460
14 19 792
14 21 407
14 22 232
14 23 224
14 26 506
14 27 947
14 29 766
14 30 534
14 31 325
14 36 416
14 37 299
14 38 994
14 39 454
14 41 419
14 49 186
14 50 669
14 51 409
14 52 906
14 54 723
14 55 719
14 58 792
14 59 716
14 60 8
14 61 783
15 16 407
15 17 714
15 18 63
15 19 571
15 24 776
15 29 101
15 32 904
15 41 284
15 42 811
15 43 287
15 44 303
15 46 570
15 51 353
15 52 591
15 58 343
15 59 463
15 61 12
15 63 786
16 23 401
16 25 352
16 27 925
16 28 365
16 34 627
16 36 591
16 37 356
16 38 893
16 39 769
16 40 350
16 41 644
16 42 830
16 44 38
16 49 455
16 50 397
16 51 449
16 54 562
16 55 70
16 56 675
16 58 513
16 59 242
16 61 634
17 18 796
17 21 664
17 23 488
17 25 412
17 26 299
17 29 39
17 30 245
17 32 362
17 33 559
17 34 782
17 37 498
17 40 874
17 43 152
17 54 101
17 58 482
17 59 123
17 62 634
18 19 481
18 20 986
18 22 481
18 23 45
18 24 109
18 27 964
18 28 55
18 29 556
18 30 911
18 32 812
18 33 603
18 35 104
18 43 870
18 44 921
18 50 696
18 51 127
18 53 439
18 54 187
18 56 804
19 21 422
19 22 275
19 24 525
19 25 537
19 26 98
19 27 745
19 28 221
19 30 944
19 32 222
19 37 945
19 40 701
19 45 267
19 47 866
19 50 662
19 54 10
19 57 776
19 58 251
19 60 406
19 62 605
19 63 942
20 22 522
20 23 859
20 24 417
20 27 976
20 29 883
20 31 320
20 36 750
20 40 570
20 41 287
20 42 847
20 44 567
20 45 782
20 46 640
20 47 661
20 49 270
20 50 638
20 52 981
20 53 439
20 56 821
21 23 489
21 24 828
21 27 477
21 28 38
21 32 328
21 33 421
21 34 156
21 35 346
21 37 429
21 38 511
21 42 131
21 44 526
21 47 633
21 48 36
21 51 553
21 52 177
21 53 418
21 55 460
21 61 997
21 63 217
22 28 536
22 30 551
22 31 796
22 32 127
22 33 150
22 38 379
22 39 979
22 41 330
22 44 43
22 48 415
22 50 133
22 53 850
22 56 567
22 57 541
22 60 332
22 62 705
23 26 769
23 27 322
23 28 836
23 29 192
23 32 803
23 33 830
23 34 322
23 37 887
23 38 415
23 40 169
23 44 965
23 49 649
23 50 373
23 51 902
23 52 186
23 53 454
23 54 54
23 55 874
23 59 137
23 60 891
24 27 713
24 29 433
24 30 883
24 35 993
24 39 966
24 41 218
24 44 421
24 45 873
24 47 567
24 51 132
24 54 843
24 55 893
24 56 76
24 57 442
24 58 435
24 60 858
24 62 826
25 27 462
25 28 470
25 29 804
25 30 310
25 32 19
25 38 920
25 43 716
25 45 370
25 46 674
25 47 383
25 48 519
25 49 932
25 50 423
25 55 257
25 61 311
25 62 913
26 27 383
26 28 868
26 29 944
26 30 663
26 32 617
26 34 31
26 35 210
26 36 335
26 37 933
26 39 658
26 40 66
26 41 534
26 43 140
26 44 285
26 48 847
26 49 527
26 50 927
26 55 94
26 62 390
27 34 120
27 35 959
27 36 930
27 38 510
27 40 682
27 45 337
27 46 692
27 47 729
27 49 710
27 51 992
27 52 797
27 54 725
27 55 117
27 56 386
27 58 58
27 59 917
27 63 258
28 30 528
28 33 421
28 34 52
28 37 434
28 39 807
28 41 677
28 42 799
28 43 888
28 44 435
28 46 486
28 47 894
28 49 764
28 50 651
28 51 718
28 52 627
28 54 463
28 56 653
28 59 161
28 60 762
28 61 117
28 62 427
29 30 367
29 31 403
29 32 314
29 35 494
29 36 905
29 37 47
29 39 452
29 42 920
29 44 113
29 46 26
29 49 381
29 54 331
29 56 83
29 57 680
29 58 903
29 59 774
29 60 152
29 62 16
29 63 494
30 31 973
30 34 43
30 35 367
30 37 267
30 40 178
30 46 159
30 47 222
30 51 440
30 52 356
30 54 379
30 55 91
30 56 660
30 57 624
30 59 83
30 61 131
30 62 544
30 63 495
31 32 895
31 33 504
