16 57
0 7 749
0 11 14
0 13 38
0 15 903
1 4 902
1 5 721
1 7 638
1 8 395
1 12 94
1 13 78
1 14 238
1 15 873
2 9 195
2 10 431
2 11 518
2 12 503
2 15 565
3 6 512
3 8 712
3 9 627
3 10 237
3 13 820
4 5 306
4 8 14
4 9 215
4 11 749
4 13 763
4 15 376
5 6 704
5 7 150
5 8 585
5 9 292
5 11 316
5 14 275
6 7 951
6 8 703
6 9 756
6 10 589
6 11 285
6 14 244
6 15 979
7 8 377
7 14 169
8 9 853
8 11 571
8 12 627
8 14 807
8 15 875
9 11 705
9 14 490
10 13 761
11 14 846
12 13 173
12 14 358
12 15 545
13 14 242
13 15 313
